Feature,Forward Selection,Backward Selection
ma_14,0,1
ema_0.3,0,1
dema_0.9,0,1
log_lag_4,0,1
macd_hist,0,1
tema_0.3,0,1
lag_13,1,0
stoch_d,1,0
log_lag_1,0,1
skew_18,0,1
max_14,1,0
adx,1,1
dist_to_ema_0.5,0,1
dayofweek_3,1,0
bb_width,0,1
lag_4,1,1
lag_1,1,0
bb_lower,0,1
diff_1_lag_1,0,1
coeff_var_20,0,1
is_trough,1,1
tema_0.9,0,1
tema_0.5,1,0
ema_ratio_0.7_0.3,1,0
skew_20,0,1
kurt_20,1,0
momentum_20,0,1
macd_signal,0,1
is_peak,1,1
var_8,0,1
month_12,1,0
T10YIE,1,0
ema_0.2,0,1
is_end_month,0,1
ema_diff_0.5_0.1,0,1
stoch_k,1,0
log_lag_2,0,1
log_lag_10,0,1
lag_15,0,1
ema_0.9,0,1
ema_0.1,0,1
max_8,0,1
q75_18,1,0
lag_14,1,1
dema_0.7,0,1
month_2,1,1
