,T10YIE,is_peak,is_trough,lag_1,month_2,lag_4,month_12,tema_0.5,stoch_k,adx,max_14,dayofweek_3,q75_18,ema_ratio_0.7_0.3,stoch_d,kurt_20,lag_14,lag_13
T10YIE,1.0,0.1019441782068392,-0.02089565386695458,0.9958781594090533,0.0634310946311016,0.9812313185379016,0.032754011911712656,0.9996426889074773,0.1714960829529922,-0.20623924910132918,0.9192584211494526,0.002302125127247503,0.8958616181876896,0.2264733104261038,0.18521129032442435,0.0035677585766766833,0.9329698915230942,0.9370862801153974
is_peak,0.1019441782068392,1.0,-0.22927105241554038,0.07677674679055815,0.02927716429824218,0.057984895984371496,-0.0441496773142878,0.0980908198114623,0.21613556083065802,-0.03527170938832162,0.03622512582214576,-0.021615703121313043,0.031052980407472532,0.17554002153472928,0.0958275307413948,-0.022322110366603923,0.04907736007240732,0.052201671544614914
is_trough,-0.02089565386695458,-0.22927105241554038,1.0,0.004812904875362169,-0.036673317077831474,0.023262766368462823,0.08349793610587988,-0.017113611726400694,-0.22980136848920568,0.00459521908648244,0.018426520665773265,0.046332724585706045,0.033904378743701453,-0.17966646618514195,-0.0990853324169421,-0.014442103743052433,0.03430422940370093,0.02848816963299664
lag_1,0.9958781594090533,0.07677674679055815,0.004812904875362169,1.0,0.06090070988102378,0.9866195368324001,0.030250259987133044,0.9965993017610378,0.14562179032821168,-0.20602252505442156,0.9232947057285931,0.005376826081539428,0.9007282235575566,0.20006785355111018,0.17518683015361408,0.0058292988439014514,0.9380600305667371,0.9422280302644945
month_2,0.0634310946311016,0.02927716429824218,-0.036673317077831474,0.06090070988102378,1.0,0.05658934822347623,-0.012211593715388944,0.06314263088476516,0.10827803294173895,-0.006858347924950742,0.048384408015942494,-0.07136903624211713,0.014436963561705863,0.11162595092158467,0.07994320785216234,0.06524865828435562,0.052513260700256116,0.05373908093019148
lag_4,0.9812313185379016,0.057984895984371496,0.023262766368462823,0.9866195368324001,0.05658934822347623,1.0,0.025714571752147315,0.9811453015046193,0.08329910152595002,-0.2062811944286341,0.932476710912565,0.00637713639197108,0.9144218551960622,0.10993907351808102,0.1166889219278802,0.013342425294347513,0.9555839820751997,0.9598198913608216
month_12,0.032754011911712656,-0.0441496773142878,0.08349793610587988,0.030250259987133044,-0.012211593715388944,0.025714571752147315,1.0,0.03411346735881181,0.0027724421390260038,0.002590326564505433,0.03898626927216743,-0.047097463607148574,0.024606727162005848,0.010367657489200516,0.017054884542959982,0.009452587547723544,0.029910429374634673,0.026314801477771273
tema_0.5,0.9996426889074773,0.0980908198114623,-0.017113611726400694,0.9965993017610378,0.06314263088476516,0.9811453015046193,0.03411346735881181,1.0,0.17073254434295448,-0.20646172672731783,0.9189157020732558,0.002485040300368993,0.8953228323356525,0.22743861226146259,0.18891523043553476,0.005154094599396105,0.9325017787648819,0.9367365396800766
stoch_k,0.1714960829529922,0.21613556083065802,-0.22980136848920568,0.14562179032821168,0.10827803294173895,0.08329910152595002,0.0027724421390260038,0.17073254434295448,1.0,0.018473867518799134,-0.06811731363364645,-0.015777897619110325,-0.12815037368200008,0.5796162039638014,0.9235236503338599,0.05299906166249732,-0.04779087042460121,-0.033926748470117465
adx,-0.20623924910132918,-0.03527170938832162,0.00459521908648244,-0.20602252505442156,-0.006858347924950742,-0.2062811944286341,0.002590326564505433,-0.20646172672731783,0.018473867518799134,1.0,-0.10063367739628089,-0.019482889772552074,-0.10780844380677106,-0.09882886929891836,0.02128732659853221,-0.06841617040391496,-0.20180167414021508,-0.20097689869293645
max_14,0.9192584211494526,0.03622512582214576,0.018426520665773265,0.9232947057285931,0.048384408015942494,0.932476710912565,0.03898626927216743,0.9189157020732558,-0.06811731363364645,-0.10063367739628089,1.0,0.002484386402918075,0.9833336317185134,-0.048286056277710175,-0.045195408421123476,-5.420505590850553e-05,0.9393953407474398,0.9390145369568467
dayofweek_3,0.002302125127247503,-0.021615703121313043,0.046332724585706045,0.005376826081539428,-0.07136903624211713,0.00637713639197108,-0.047097463607148574,0.002485040300368993,-0.015777897619110325,-0.019482889772552074,0.002484386402918075,1.0,0.0034135542193153264,-0.02765817191338867,-0.005717006540045674,-0.014463898636150177,0.01228834365717605,0.009727705191133057
q75_18,0.8958616181876896,0.031052980407472532,0.033904378743701453,0.9007282235575566,0.014436963561705863,0.9144218551960622,0.024606727162005848,0.8953228323356525,-0.12815037368200008,-0.10780844380677106,0.9833336317185134,0.0034135542193153264,1.0,-0.1325025562280561,-0.10934846092970912,-0.03386328693223863,0.9305014620480779,0.9287264078758422
ema_ratio_0.7_0.3,0.2264733104261038,0.17554002153472928,-0.17966646618514195,0.20006785355111018,0.11162595092158467,0.10993907351808102,0.010367657489200516,0.22743861226146259,0.5796162039638014,-0.09882886929891836,-0.048286056277710175,-0.02765817191338867,-0.1325025562280561,1.0,0.5057727235192349,-0.10342074429607662,-0.034281851060266336,-0.02841907832116165
stoch_d,0.18521129032442435,0.0958275307413948,-0.0990853324169421,0.17518683015361408,0.07994320785216234,0.1166889219278802,0.017054884542959982,0.18891523043553476,0.9235236503338599,0.02128732659853221,-0.045195408421123476,-0.005717006540045674,-0.10934846092970912,0.5057727235192349,1.0,0.05464921216199747,-0.01881964159728642,-0.004779565934418769
kurt_20,0.0035677585766766833,-0.022322110366603923,-0.014442103743052433,0.0058292988439014514,0.06524865828435562,0.013342425294347513,0.009452587547723544,0.005154094599396105,0.05299906166249732,-0.06841617040391496,-5.420505590850553e-05,-0.014463898636150177,-0.03386328693223863,-0.10342074429607662,0.05464921216199747,1.0,0.025797150219063238,0.02654484579899759
lag_14,0.9329698915230942,0.04907736007240732,0.03430422940370093,0.9380600305667371,0.052513260700256116,0.9555839820751997,0.029910429374634673,0.9325017787648819,-0.04779087042460121,-0.20180167414021508,0.9393953407474398,0.01228834365717605,0.9305014620480779,-0.034281851060266336,-0.01881964159728642,0.025797150219063238,1.0,0.9954569613437863
lag_13,0.9370862801153974,0.052201671544614914,0.02848816963299664,0.9422280302644945,0.05373908093019148,0.9598198913608216,0.026314801477771273,0.9367365396800766,-0.033926748470117465,-0.20097689869293645,0.9390145369568467,0.009727705191133057,0.9287264078758422,-0.02841907832116165,-0.004779565934418769,0.02654484579899759,0.9954569613437863,1.0
